author	word	value
naraaziza	favorite	11
naraaziza	love	9
naraaziza	comment	8
naraaziza	meal	7
naraaziza	cream	7
naraaziza	alo	7
naraaziza	night	6
naraaziza	ice	6
naraaziza	sweet	6
naraaziza	breakfast	6
naraaziza	week	6
naraaziza	started	6
naraaziza	goto	5
naraaziza	snack	5
naraaziza	mom	5
naraaziza	person	5
naraaziza	day	5
naraaziza	fwrd	4
naraaziza	rate	4
naraaziza	weekend	4
naraaziza	lot	4
naraaziza	contractions	4
naraaziza	time	4
naraaziza	boy	4
